Regional Economy,Statistic,Value,Footnote,Unit of Measurement,Year,Sustainable Development Goal,ADB Country Code
Myanmar,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,MYA
Myanmar,Proportion of Population Using Safely Managed Drinking Water Services (Total),…,,%,2017,6.1.1,MYA
Myanmar,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,MYA
Myanmar,Proportion of Population with Access to Electricity,69.81,,%,2017,7.1.1,MYA
Myanmar,Proportion of Seats Held by Women in National Parliaments,11.32,,%,2019,5.5.1,MYA
Myanmar,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),89.54,,%,2018,4.c.1,MYA
Myanmar,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),81.4,,%,2018,4.c.1,MYA
Myanmar,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),95.34,,%,2018,4.c.1,MYA
Myanmar,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),87.72,,%,2018,4.c.1,MYA
Myanmar,Renewable Energy Share in the Total Final Energy Consumption,60.57,,%,2017,7.2.1,MYA
Myanmar,Surface Area,676.59,,'000  km2,,,MYA
Myanmar,Total Fertility Rate,2.15,,births per woman,2018,,MYA
Myanmar,Total Official Flows for Infrastructure - Official Development Assistance (ODA),384.93,,"disbursements, constant 2017, $ million",2018,9.a.1,MYA
Myanmar,Total Official Flows for Infrastructure - Other Official Flows (OOF),54.2,,"disbursements, constant 2017, $ million",2018,9.a.1,MYA
Myanmar,Total Outstanding,11000,,$ million,2018,,MYA
Myanmar,Total Outstanding,15.66,,% of GNI,2018,,MYA
Myanmar,Total Population,54.34,,million,2019,,MYA
Myanmar,Trade Balance,-3.57,,% of GDP,2019,,MYA
Myanmar,Tuberculosis Incidence,338,,"per 100,000 population",2018,3.3.2,MYA
Myanmar,Under-5 Mortality Rate,46.2,,"per 1,000 live births",2018,3.2.1,MYA
Myanmar,"Unemployment Rate, by Sex (Female)",2.07,,%,2019,8.5.2,MYA
Myanmar,"Unemployment Rate, by Sex (Male)",1.24,,%,2019,8.5.2,MYA
Myanmar,"Unemployment Rate, by Sex (Total)",1.58,,%,2019,8.5.2,MYA
Myanmar,Volume of Remittances in United States Dollars as a Proportion of Total GDP,3.99,,%,2018,17.3.2,MYA
Nauru,Age Dependency Ratio,80,¤,% of working-age population,2018,,NAU
Nauru,"Annual Change 
in Money Supply",…,,%,2019,,NAU
Nauru,"Annual Growth Rate of GDP



",1,,%,2019,,NAU
Nauru,Annual Growth Rate of Real GDP per Employed Person,…,,%,2019,8.2.1,NAU
Nauru,Annual Real Growth Rates on Value Added (Agriculture),5.24,4,%,2015,,NAU
Nauru,Annual Real Growth Rates on Value Added (Industry),-17.08,4,%,2015,,NAU
Nauru,Annual Real Growth Rates on Value Added (Services),11.58,4,%,2015,,NAU
Nauru,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,12.5,,μg/m3,2016,11.6.2,NAU
Nauru,Average Annual Population Growth Rate,1.02,¤,%,2016-2019,,NAU
Nauru,CO2 Emissions,…,,Million Metric Tons,2017,9.4.1,NAU
Nauru,CO2 Emissions,…,,Per Unit of GDP (PPP),2017,9.4.1,NAU
Nauru,Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,NAU
Nauru,Current Account Balance,4.96,,% of GDP,2019,,NAU
Nauru,Debt Service as a Percentage of Exports of Goods and Services,…,,%,2018,17.4.1,NAU
Nauru,Domestic Material Consumption,…,,Million Metric Tons,2017,12.2.2,NAU
Nauru,Domestic Material Consumption,…,,Per Capita,2017,12.2.2,NAU
Nauru,Forest Area as a Proportion of Total Land Area,–,,%,2015,15.1.1,NAU
Nauru,Government Finance - Expenditure,125.59,,% of  GDP,2019,,NAU
Nauru,Government Finance - Fiscal Balance,16.03,,% of  GDP,2019,,NAU
Nauru,Government Finance - Revenue,141.62,,% of  GDP,2019,,NAU
Nauru,Gross Domestic Investment,…,,% of GDP,2019,,NAU
Nauru,Gross International Reserves,…,,$ million,2019,,NAU
Nauru,Growth Rate of Merchandise Exports,-65.23,,%,2019,,NAU
Nauru,Growth Rate of Merchandise Imports,-4.79,,%,2019,,NAU
Nauru,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,NAU
Nauru,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,NAU
Nauru,Inflation Rate,3.9,,%,2019,,NAU
Nauru,Material Footprint,…,,Million Metric Tons,2017,12.2.1,NAU
Nauru,Material Footprint,…,,Per Capita,2017,12.2.1,NAU
Nauru,Maternal Mortality Ratio,…,,"per 100,000 live births",2017,3.1.1,NAU
Nauru,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",…,,%,2016,3.4.1,NAU
Nauru,Neonatal Mortality Rate,19.9,,"per 1,000 live births",2018,3.2.2,NAU
Nauru,"Nominal Gross Domestic Product
(GDP)



",0.12,,$ billion,2019,,NAU
Nauru,Number of ATMs,…,,"per 100,000 adults",2018,8.10.1,NAU
Nauru,Number of Commercial Bank Branches ,…,,"per 100,000 adults",2018,8.10.1,NAU
Nauru,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),96.99,5,%,2016,4.2.2,NAU
Nauru,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),98.51,5,%,2016,4.2.2,NAU
Nauru,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),97.75,5,%,2016,4.2.2,NAU
Nauru,"Per Capita Gross National Income (GNI), Atlas Method",12060,,$,2018,,NAU
Nauru,Population Density,555,,persons per km2 of surface area,2019,,NAU
Nauru,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,NAU
Nauru,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,NAU
Nauru,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,NAU
Nauru,Prevalence of Undernourishment,…,,%,2016-2018,2.1.1,NAU
Nauru,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,%,2017,8.10.2,NAU
Nauru,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,95.9,2,%,2013,16.9.1,NAU
Nauru,Proportion of Employed Population below $1.90 PPP a Day (Female),…,,%,2019,1.1.1,NAU
Nauru,Proportion of Employed Population below $1.90 PPP a Day (Male),…,,%,2019,1.1.1,NAU
Nauru,Proportion of Employed Population below $1.90 PPP a Day (Total),…,,%,2019,1.1.1,NAU
Nauru,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,NAU
Nauru,Proportion of Population Covered by Mobile Network - 2G,98,6,%,2017,9.c.1,NAU
Nauru,Proportion of Population Covered by Mobile Network - 3G,98,6,%,2017,9.c.1,NAU
Nauru,Proportion of Population Covered by Mobile Network - LTE/WiMAX,30,6,%,2017,9.c.1,NAU
Nauru,"Proportion of Population Living below
the National Poverty Line",24,2,%,2013,,NAU
Nauru,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,NAU
Nauru,Proportion of Population Using Safely Managed Drinking Water Services (Total),97.5,2,%,2013,6.1.1,NAU
Nauru,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,NAU
Nauru,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,NAU
Nauru,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",78.7,2,%,2013,6.2.1,NAU
Nauru,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,NAU
Nauru,Proportion of Population with Access to Electricity,99.55,,%,2017,7.1.1,NAU
Nauru,Proportion of Seats Held by Women in National Parliaments,10.53,,%,2019,5.5.1,NAU
Nauru,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),100,5,%,2016,4.c.1,NAU
Nauru,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),100,5,%,2016,4.c.1,NAU
Nauru,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),100,5,%,2016,4.c.1,NAU
Nauru,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),100,5,%,2016,4.c.1,NAU
Nauru,Renewable Energy Share in the Total Final Energy Consumption,0.79,,%,2017,7.2.1,NAU
Nauru,Surface Area,0.02,,'000  km2,,,NAU
Nauru,Total Fertility Rate,2.72,8,births per woman,2019,,NAU
Nauru,Total Official Flows for Infrastructure - Official Development Assistance (ODA),8.56,,"disbursements, constant 2017, $ million",2018,9.a.1,NAU
Nauru,Total Official Flows for Infrastructure - Other Official Flows (OOF),…,,"disbursements, constant 2017, $ million",2018,9.a.1,NAU
Nauru,Total Outstanding,37.98,,$ million,2018,,NAU
Nauru,Total Outstanding,24.79,,% of GNI,2018,,NAU
Nauru,Total Population,0.01,,million,2019,,NAU
Nauru,Trade Balance,-47.07,,% of GDP,2019,,NAU
Nauru,Tuberculosis Incidence,54,,"per 100,000 population",2018,3.3.2,NAU
Nauru,Under-5 Mortality Rate,31.8,,"per 1,000 live births",2018,3.2.1,NAU
Nauru,"Unemployment Rate, by Sex (Female)",…,,%,2019,8.5.2,NAU
Nauru,"Unemployment Rate, by Sex (Male)",…,,%,2019,8.5.2,NAU
Nauru,"Unemployment Rate, by Sex (Total)",…,,%,2019,8.5.2,NAU
Nauru,Volume of Remittances in United States Dollars as a Proportion of Total GDP,5.2,,%,2018,17.3.2,NAU
Nepal,Age Dependency Ratio,56.6,,% of working-age population,2018,,NEP
Nepal,"Annual Change 
in Money Supply",15.76,,%,2019,,NEP
Nepal,"Annual Growth Rate of GDP



",7.05,,%,2019,,NEP
Nepal,Annual Growth Rate of Real GDP per Employed Person,3.91,,%,2019,8.2.1,NEP
Nepal,Annual Real Growth Rates on Value Added (Agriculture),5.03,,%,2019,,NEP
Nepal,Annual Real Growth Rates on Value Added (Industry),8.15,,%,2019,,NEP
Nepal,Annual Real Growth Rates on Value Added (Services),7.29,,%,2019,,NEP
Nepal,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,99.5,,μg/m3,2016,11.6.2,NEP
Nepal,Average Annual Population Growth Rate,1.35,,%,2014-2019,,NEP
Nepal,CO2 Emissions,10.11,,Million Metric Tons,2017,9.4.1,NEP
Nepal,CO2 Emissions,0.14,,Per Unit of GDP (PPP),2017,9.4.1,NEP
Nepal,Coverage of Protected Areas in Relation to Marine Areas,…,,%,2018,14.5.1,NEP
Nepal,Current Account Balance,-7.66,,% of GDP,2019,,NEP
Nepal,Debt Service as a Percentage of Exports of Goods and Services,7.38,6,%,2017,17.4.1,NEP
Nepal,Domestic Material Consumption,111.56,,Million Metric Tons,2017,12.2.2,NEP
Nepal,Domestic Material Consumption,3.81,,Per Capita,2017,12.2.2,NEP
Nepal,Forest Area as a Proportion of Total Land Area,25.36,,%,2015,15.1.1,NEP
Nepal,Government Finance - Expenditure,30.45,,% of  GDP,2019,,NEP
Nepal,Government Finance - Fiscal Balance,-5.14,,% of  GDP,2019,,NEP
Nepal,Government Finance - Revenue,22.52,,% of  GDP,2019,,NEP
Nepal,Gross Domestic Investment,62.27,,% of GDP,2019,,NEP
Nepal,Gross International Reserves,9499.99,,$ million,2019,,NEP
Nepal,Growth Rate of Merchandise Exports,11.6,,%,2019,,NEP
Nepal,Growth Rate of Merchandise Imports,6.7,,%,2019,,NEP
Nepal,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,NEP
Nepal,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,NEP
Nepal,Inflation Rate,4.63,,%,2019,,NEP
Nepal,Material Footprint,81.56,,Million Metric Tons,2017,12.2.1,NEP
Nepal,Material Footprint,2.78,,Per Capita,2017,12.2.1,NEP
Nepal,Maternal Mortality Ratio,186,,"per 100,000 live births",2017,3.1.1,NEP
Nepal,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",21.8,,%,2016,3.4.1,NEP
Nepal,Neonatal Mortality Rate,19.9,,"per 1,000 live births",2018,3.2.2,NEP
Nepal,"Nominal Gross Domestic Product
(GDP)



",30.69,,$ billion,2019,,NEP
Nepal,Number of ATMs,14.28,,"per 100,000 adults",2018,8.10.1,NEP
Nepal,Number of Commercial Bank Branches ,15.47,,"per 100,000 adults",2018,8.10.1,NEP
Nepal,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),82.92,8,%,2019,4.2.2,NEP
Nepal,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),90.98,8,%,2019,4.2.2,NEP
Nepal,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),86.97,8,%,2019,4.2.2,NEP
Nepal,"Per Capita Gross National Income (GNI), Atlas Method",970,,$,2018,,NEP
Nepal,Population Density,200,,persons per km2 of surface area,2019,,NEP
Nepal,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.2,5,%,2016,2.2.2,NEP
Nepal,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,9.64,5,%,,2.2.2,NEP
Nepal,Prevalence of Stunting among Children under 5 Years of Age,36.02,5,%,2016,2.2.1,NEP
Nepal,Prevalence of Undernourishment,8.7,,%,2016-2018,2.1.1,NEP
Nepal,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,45.39,,%,2017,8.10.2,NEP
Nepal,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,56.2,,%,2016,16.9.1,NEP
Nepal,Proportion of Employed Population below $1.90 PPP a Day (Female),6.11,,%,2019,1.1.1,NEP
Nepal,Proportion of Employed Population below $1.90 PPP a Day (Male),6.1,,%,2019,1.1.1,NEP
Nepal,Proportion of Employed Population below $1.90 PPP a Day (Total),6.11,,%,2019,1.1.1,NEP
Nepal,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,NEP
Nepal,Proportion of Population Covered by Mobile Network - 2G,92.47,6,%,2017,9.c.1,NEP
Nepal,Proportion of Population Covered by Mobile Network - 3G,54.1,6,%,2017,9.c.1,NEP
Nepal,Proportion of Population Covered by Mobile Network - LTE/WiMAX,15.47,6,%,2017,9.c.1,NEP
Nepal,Proportion of Population Living below the National Poverty Line,…,,%,2018,,NEP
Nepal,Proportion of Population Using Safely Managed Drinking Water Services (Rural),25.59,,%,2017,6.1.1,NEP
Nepal,Proportion of Population Using Safely Managed Drinking Water Services (Total),27.24,,%,2017,6.1.1,NEP
Nepal,Proportion of Population Using Safely Managed Drinking Water Services (Urban),34.12,,%,2017,6.1.1,NEP
Nepal,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,NEP
Nepal,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",…,,%,2017,6.2.1,NEP
Nepal,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,NEP
Nepal,Proportion of Population with Access to Electricity,95.51,,%,2017,7.1.1,NEP
Nepal,Proportion of Seats Held by Women in National Parliaments,32.73,,%,2019,5.5.1,NEP
Nepal,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),85.4,8,%,2019,4.c.1,NEP
Nepal,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),83.39,8,%,2019,4.c.1,NEP
Nepal,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),97.29,8,%,2019,4.c.1,NEP
Nepal,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),81.31,8,%,2019,4.c.1,NEP
Nepal,Renewable Energy Share in the Total Final Energy Consumption,76.56,,%,2017,7.2.1,NEP
Nepal,Surface Area,147.18,,'000  km2,,,NEP
Nepal,Total Fertility Rate,1.92,,births per woman,2018,,NEP
Nepal,Total Official Flows for Infrastructure - Official Development Assistance (ODA),315.77,,"disbursements, constant 2017, $ million",2018,9.a.1,NEP
Nepal,Total Official Flows for Infrastructure - Other Official Flows (OOF),3.84,,"disbursements, constant 2017, $ million",2018,9.a.1,NEP
Nepal,Total Outstanding,4804.75,,$ million,2018,,NEP
Nepal,Total Outstanding,17.66,,% of GNI,2018,,NEP
Nepal,Total Population,29.49,,million,2019,,NEP
Nepal,Trade Balance,-37.05,,% of GDP,2019,,NEP
Nepal,Tuberculosis Incidence,151,,"per 100,000 population",2018,3.3.2,NEP
Nepal,Under-5 Mortality Rate,32.2,,"per 1,000 live births",2018,3.2.1,NEP
Nepal,"Unemployment Rate, by Sex (Female)",1.21,,%,2019,8.5.2,NEP
Nepal,"Unemployment Rate, by Sex (Male)",1.65,,%,2019,8.5.2,NEP
Nepal,"Unemployment Rate, by Sex (Total)",1.41,,%,2019,8.5.2,NEP
Nepal,Volume of Remittances in United States Dollars as a Proportion of Total GDP,28.56,,%,2018,17.3.2,NEP
Niue,Age Dependency Ratio,76,¤,% of working-age population,2018,,NIU
Niue,"Annual Change 
in Money Supply",…,,%,2019,,NIU
Niue,"Annual Growth Rate of GDP



",6.48,7,%,2018,,NIU
Niue,Annual Growth Rate of Real GDP per Employed Person,…,,%,2019,8.2.1,NIU
Niue,Annual Real Growth Rates on Value Added (Agriculture),1.65,7,%,2018,,NIU
Niue,Annual Real Growth Rates on Value Added (Industry),90.35,7,%,2018,,NIU
Niue,Annual Real Growth Rates on Value Added (Services),4.71,7,%,2018,,NIU
Niue,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,…,,μg/m3,2016,11.6.2,NIU
Niue,Average Annual Population Growth Rate,-1.15,¤,%,2016-2019,,NIU
Niue,CO2 Emissions,…,,Million Metric Tons,2017,9.4.1,NIU
Niue,CO2 Emissions,…,,Per Unit of GDP (PPP),2017,9.4.1,NIU
Niue,Coverage of Protected Areas in Relation to Marine Areas,0,,%,2018,14.5.1,NIU
Niue,Current Account Balance,22.74,7,% of GDP,2018,,NIU
Niue,Debt Service as a Percentage of Exports of Goods and Services,…,,%,2018,17.4.1,NIU
Niue,Domestic Material Consumption,…,,Million Metric Tons,2017,12.2.2,NIU
Niue,Domestic Material Consumption,…,,Per Capita,2017,12.2.2,NIU
Niue,Forest Area as a Proportion of Total Land Area,69.62,,%,2015,15.1.1,NIU
Niue,Government Finance - Expenditure,83.85,,% of  GDP,2019,,NIU
Niue,Government Finance - Fiscal Balance,-1.23,,% of  GDP,2019,,NIU
Niue,Government Finance - Revenue,82.62,,% of  GDP,2019,,NIU
Niue,Gross Domestic Investment,…,,% of GDP,2019,,NIU
Niue,Gross International Reserves,…,,$ million,2019,,NIU
Niue,Growth Rate of Merchandise Exports,-2.77,7,%,2018,,NIU
Niue,Growth Rate of Merchandise Imports,10.65,7,%,2018,,NIU
Niue,Growth Rates of Household Expenditure or Income per Capita,…,,%,,10.1.1,NIU
Niue,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,%,,10.1.1,NIU
Niue,Inflation Rate,10.09,7,%,2018,,NIU
Niue,Material Footprint,…,,Million Metric Tons,2017,12.2.1,NIU
Niue,Material Footprint,…,,Per Capita,2017,12.2.1,NIU
Niue,Maternal Mortality Ratio,…,,"per 100,000 live births",2017,3.1.1,NIU
Niue,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",…,,%,2016,3.4.1,NIU
Niue,Neonatal Mortality Rate,12.5,,"per 1,000 live births",2018,3.2.2,NIU
Niue,"Nominal Gross Domestic Product
(GDP)



",0.03,7,$ billion,2018,,NIU
Niue,Number of ATMs,…,,"per 100,000 adults",2018,8.10.1,NIU
Niue,Number of Commercial Bank Branches ,…,,"per 100,000 adults",2018,8.10.1,NIU
Niue,Participation Rate in Organized Learning (1 year before the official primary entry age) (Female),100,4,%,2015,4.2.2,NIU
Niue,Participation Rate in Organized Learning (1 year before the official primary entry age) (Male),29.32,4,%,2015,4.2.2,NIU
Niue,Participation Rate in Organized Learning (1 year before the official primary entry age) (Total),63.35,4,%,2015,4.2.2,NIU
Niue,"Per Capita Gross National Income (GNI), Atlas Method",…,,$,2018,,NIU
Niue,Population Density,6,,persons per km2 of surface area,2019,,NIU
Niue,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,%,2017,2.2.2,NIU
Niue,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,%,2017,2.2.2,NIU
Niue,Prevalence of Stunting among Children under 5 Years of Age,…,,%,2017,2.2.1,NIU
Niue,Prevalence of Undernourishment,…,,%,2016-2018,2.1.1,NIU
Niue,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,%,2017,8.10.2,NIU
Niue,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,…,,%,2016,16.9.1,NIU
Niue,Proportion of Employed Population below $1.90 PPP a Day (Female),…,,%,2019,1.1.1,NIU
Niue,Proportion of Employed Population below $1.90 PPP a Day (Male),…,,%,2019,1.1.1,NIU
Niue,Proportion of Employed Population below $1.90 PPP a Day (Total),…,,%,2019,1.1.1,NIU
Niue,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,%,2018,,NIU
Niue,Proportion of Population Covered by Mobile Network - 2G,…,,%,2018,9.c.1,NIU
Niue,Proportion of Population Covered by Mobile Network - 3G,–,4,%,2015,9.c.1,NIU
Niue,Proportion of Population Covered by Mobile Network - LTE/WiMAX,…,,%,2018,9.c.1,NIU
Niue,"Proportion of Population Living below
the National Poverty Line",…,,%,2018,,NIU
Niue,Proportion of Population Using Safely Managed Drinking Water Services (Rural),…,,%,2017,6.1.1,NIU
Niue,Proportion of Population Using Safely Managed Drinking Water Services (Total),97.22,,%,2017,6.1.1,NIU
Niue,Proportion of Population Using Safely Managed Drinking Water Services (Urban),…,,%,2017,6.1.1,NIU
Niue,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Rural)",…,,%,2017,6.2.1,NIU
Niue,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Total)",99.6,5,%,2016,6.2.1,NIU
Niue,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water (Urban)",…,,%,2017,6.2.1,NIU
Niue,Proportion of Population with Access to Electricity,100,,%,2017,7.1.1,NIU
Niue,Proportion of Seats Held by Women in National Parliaments,25,7,%,2018,5.5.1,NIU
Niue,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Lower Secondary),80,5,%,2016,4.c.1,NIU
Niue,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Preprimary),100,5,%,2016,4.c.1,NIU
Niue,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Primary),92.31,5,%,2016,4.c.1,NIU
Niue,Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training (Upper Secondary),100,4,%,2015,4.c.1,NIU
Niue,Renewable Energy Share in the Total Final Energy Consumption,22.36,,%,2017,7.2.1,NIU
Niue,Surface Area,0.26,,'000  km2,,,NIU
Niue,Total Fertility Rate,…,,births per woman,2018,,NIU
Niue,Total Official Flows for Infrastructure - Official Development Assistance (ODA),5.76,,"disbursements, constant 2017, $ million",2018,9.a.1,NIU
Niue,Total Official Flows for Infrastructure - Other Official Flows (OOF),…,,"disbursements, constant 2017, $ million",2018,9.a.1,NIU
Niue,Total Outstanding,…,,$ million,2018,,NIU
Niue,Total Outstanding,…,,% of GNI,2018,,NIU
Niue,Total Population,0,,million,2019,,NIU
Niue,Trade Balance,-59.82,7,% of GDP,2018,,NIU
Niue,Tuberculosis Incidence,71,,"per 100,000 population",2018,3.3.2,NIU
Niue,Under-5 Mortality Rate,23.9,,"per 1,000 live births",2018,3.2.1,NIU
Niue,"Unemployment Rate, by Sex (Female)",…,,%,2019,8.5.2,NIU
Niue,"Unemployment Rate, by Sex (Male)",…,,%,2019,8.5.2,NIU
Niue,"Unemployment Rate, by Sex (Total)",…,,%,2019,8.5.2,NIU
Niue,Volume of Remittances in United States Dollars as a Proportion of Total GDP,…,,%,2018,17.3.2,NIU
Pakistan,Age Dependency Ratio,65.52,,% of working-age population,2018,,PAK
Pakistan,"Annual Change 
in Money Supply",11.26,,%,2019,,PAK
Pakistan,"Annual Growth Rate of GDP



",3.29,,%,2019,,PAK
Pakistan,Annual Growth Rate of Real GDP per Employed Person,1.06,,%,2019,8.2.1,PAK
Pakistan,Annual Real Growth Rates on Value Added (Agriculture),0.85,,%,2019,,PAK
Pakistan,Annual Real Growth Rates on Value Added (Industry),1.4,,%,2019,,PAK
Pakistan,Annual Real Growth Rates on Value Added (Services),4.71,,%,2019,,PAK
Pakistan,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,56.2,,μg/m3,2016,11.6.2,PAK
Pakistan,Average Annual Population Growth Rate,3,,%,2014-2019,,PAK
Pakistan,CO2 Emissions,183.45,,Million Metric Tons,2017,9.4.1,PAK
Pakistan,CO2 Emissions,0.19,,Per Unit of GDP (PPP),2017,9.4.1,PAK
Pakistan,Coverage of Protected Areas in Relation to Marine Areas,0.26,,%,2018,14.5.1,PAK
Pakistan,Current Account Balance,-4.9,,% of GDP,2019,,PAK
Pakistan,Debt Service as a Percentage of Exports of Goods and Services,16.02,,%,2018,17.4.1,PAK
Pakistan,Domestic Material Consumption,875.85,,Million Metric Tons,2017,12.2.2,PAK
Pakistan,Domestic Material Consumption,4.45,,Per Capita,2017,12.2.2,PAK
Pakistan,Forest Area as a Proportion of Total Land Area,1.91,,%,2015,15.1.1,PAK
Pakistan,Government Finance - Expenditure,21.64,,% of  GDP,2019,,PAK
Pakistan,Government Finance - Fiscal Balance,-8.93,,% of  GDP,2019,,PAK
Pakistan,Government Finance - Revenue,12.71,,% of  GDP,2019,,PAK
Pakistan,Gross Domestic Investment,15.45,,% of GDP,2019,,PAK
Pakistan,Gross International Reserves,7280.4,,$ million,2019,,PAK
Pakistan,Growth Rate of Merchandise Exports,-2.09,,%,2019,,PAK
Pakistan,Growth Rate of Merchandise Imports,-6.76,,%,2019,,PAK
Pakistan,Growth Rates of Household Expenditure or Income per Capita,4.25,,%,2010-2015,10.1.1,PAK
Pakistan,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,2.72,,%,2010-2015,10.1.1,PAK
Pakistan,Inflation Rate,6.8,,%,2019,,PAK
Pakistan,Material Footprint,628.6,,Million Metric Tons,2017,12.2.1,PAK
Pakistan,Material Footprint,3.19,,Per Capita,2017,12.2.1,PAK
Pakistan,Maternal Mortality Ratio,140,,"per 100,000 live births",2017,3.1.1,PAK
