Regional Economy,Statistic,Value,Year,Sustainable Development Goal,Country Code
Lao People's Democratic Republic,"External Debt, Total Outstanding ($ million)",6495,2015,,LAO
Lao People's Democratic Republic,Gross Domestic Investment (% of GDP),,,,LAO
Lao People's Democratic Republic,Gross Domestic Product (GDP) Annual Growth Rate (%),6.7,2015,,LAO
Lao People's Democratic Republic,Gross Domestic Product (GDP) Annual Growth Rate (%),6.8,2016,,LAO
Lao People's Democratic Republic,Gross International Reserves ($ million),814,2016,,LAO
Lao People's Democratic Republic,Growth Rate of Merchandise Exports (%),6.5,2016,,LAO
Lao People's Democratic Republic,Growth Rate of Merchandise Imports (%),5.8,2016,,LAO
Lao People's Democratic Republic,Inflation Rate (%),1.6,2016,,LAO
Lao People's Democratic Republic,"Per Capita Gross National Income (GNI), Atlas Method (%)",1740,2015,,LAO
Lao People's Democratic Republic,Trade Balance (% of GDP),-30.04,2016,,LAO
Lao People's Democratic Republic,"Value Added, Agriculture Annual Growth Rate (%)",2.5,2016,,LAO
Lao People's Democratic Republic,"Value Added, Industry Annual Growth Rate (%)",8,2016,,LAO
Lao People's Democratic Republic,"Value Added, Services Annual Growth Rate (%)",9,2016,,LAO
Malaysia,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",44.74,2015,,MYS
Malaysia,Average Annual Population Growth Rate (%),1.73,2011-2016,,MYS
Malaysia,Gini Index (%),46.26,2009,,MYS
Malaysia,"Land, Total Surface Area ('000  km2)",330.8,,,MYS
Malaysia,Population Density (persons per km2 of total surface area),95.71,2016,,MYS
Malaysia,Total Fertility Rate (births per woman),1.93,2015,,MYS
Malaysia,Total Population (million),31.66,2016,,MYS
Malaysia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",3.82,2009,1.1.1,MYS
Malaysia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",3.29,2009,1.1.1,MYS
Malaysia,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",3.48,2009,1.1.1,MYS
Malaysia,Proportion of Population below $1.90 Purchasing Power Parity (%),0.28,2009,1.1.1,MYS
Malaysia,Proportion of Population Living below the National Poverty Line (%),0.6,2014,1.2.1,MYS
Malaysia,Growth Rates of Household Expenditure or Income per Capita (%),,,10.1.1,MYS
Malaysia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),,,10.1.1,MYS
Malaysia,Proportion of Urban Population Living in Slums (%),,,11.1.1,MYS
Malaysia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),16.6,2014,11.6.2,MYS
Malaysia,"Material Footprint, Million Metric Tons",632.66,2015,12.2.1,MYS
Malaysia,"Material Footprint, Per Capita",20.64,2015,12.2.1,MYS
Malaysia,"Domestic Material Consumption, Million Metric Tons",409.07,2015,12.2.2,MYS
Malaysia,"Domestic Material Consumption, Per Capita",13.35,2015,12.2.2,MYS
Malaysia,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,MYS
Malaysia,Forest Area as a Proportion of Total Land Area (%),67.55,2015,15.1.1,MYS
Malaysia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),,,16.9.1,MYS
Malaysia,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),0.55,2015,17.3.2,MYS
Malaysia,Debt Service as a Percentage of Exports of Goods and Services (%),3.49,2015,17.4.1,MYS
Malaysia,Fixed Broadband Subscriptions (per 100 inhabitants),10,2015,17.6.2,MYS
Malaysia,Proportion of Individuals Using the Internet (%),71.06,2015,17.8.1,MYS
Malaysia,Prevalence of Undernourishment (%),<5.0,2014-2016,2.1.1,MYS
Malaysia,Prevalence of Stunting among Children under 5 Years of Age (%),17.7,2015,2.2.1,MYS
Malaysia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),7.1,2015,2.2.2,MYS
Malaysia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),8,2015,2.2.2,MYS
Malaysia,"Maternal Mortality Ratio (per 100,000 live births)",40,2015,3.1.1,MYS
Malaysia,Proportion of Births Attended by Skilled Health Personnel (%),98.97,2014,3.1.2,MYS
Malaysia,"Infant Mortality Rate (per 1,000 live births)",6,2015,3.2.1,MYS
Malaysia,"Under-5 Mortality Rate (per 1,000 live births)",7,2015,3.2.1,MYS
Malaysia,"Neonatal Mortality Rate (per 1,000 live births)",3.9,2015,3.2.2,MYS
Malaysia,"Number of New HIV Infections (per 1,000 uninfected population)",0.17,2015,3.3.1,MYS
Malaysia,"Tuberculosis Incidence (per 100,000 population)",89,2015,3.3.2,MYS
Malaysia,"Incidence of Malaria (per 1,000 population)",3.16,2013,3.3.3,MYS
Malaysia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",19.63,2012,3.4.1,MYS
Malaysia,"Death Rate due to Road Traffic Injuries (per 100,000 population)",24,2013,3.6.1,MYS
Malaysia,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),,,3.7.1,MYS
Malaysia,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",12.73,2012,3.7.2,MYS
Malaysia,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",21.6,2012,3.9.1,MYS
Malaysia,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",0.4,2012,3.9.2,MYS
Malaysia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",99.26,2015,4.2.2,MYS
Malaysia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",97.65,2015,4.2.2,MYS
Malaysia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",98.43,2015,4.2.2,MYS
Malaysia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,MYS
Malaysia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",99.62,2015,4.c.1,MYS
Malaysia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",99.93,2015,4.c.1,MYS
Malaysia,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,MYS
Malaysia,Proportion of Seats Held by Women in National Parliaments (%),10.4,2016,5.5.1,MYS
Malaysia,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",92.99,2015,6.1.1,MYS
Malaysia,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",98.23,2015,6.1.1,MYS
Malaysia,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",100,2015,6.1.1,MYS
Malaysia,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",95.88,2015,6.2.1,MYS
Malaysia,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",96.01,2015,6.2.1,MYS
Malaysia,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",96.06,2015,6.2.1,MYS
Malaysia,Proportion of Population with Access to Electricity (%),100,2014,7.1.1,MYS
Malaysia,Renewal Energy Share in the Total Final Energy Consumption (%),4.77,2014,7.2.1,MYS
Malaysia,"Number of ATMs (per 100,000 adults)",51.12,2015,8.10.1,MYS
Malaysia,"Number of Commercial Bank Branches (per 100,000 adults)",10.66,2015,8.10.1,MYS
Malaysia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),84.08,2014,8.10.2,MYS
Malaysia,Annual Growth Rate of Real GDP per Employed Person (%),2.3,2015,8.2.1,MYS
Malaysia,"Unemployment Rate, Female (%)",3.4,2015,8.5.2,MYS
Malaysia,"Unemployment Rate, Male (%)",2.9,2015,8.5.2,MYS
Malaysia,"Unemployment Rate, Total (%)",3.1,2015,8.5.2,MYS
Malaysia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",1.64,2015,8.6.1,MYS
Malaysia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",0.85,2015,8.6.1,MYS
Malaysia,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",1.23,2015,8.6.1,MYS
Malaysia,"CO2 Emissions, Million Metric Tons",220.52,2014,9.4.1,MYS
Malaysia,"CO2 Emissions, Per Unit of GDP (PPP)",0.31,2014,9.4.1,MYS
Malaysia,Total Official Flows for Infrastructure (constant 2014 $ million),72.23,2015,9.a.1,MYS
Malaysia,"Proportion of Population Covered by Mobile Network, 2G (%)",96,2015,9.c.1,MYS
Malaysia,"Proportion of Population Covered by Mobile Network, 3G (%)",92,2015,9.c.1,MYS
Malaysia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",71,2015,9.c.1,MYS
Malaysia,Annual Change in Money Supply (%),3,2016,,MYS
Malaysia,"Central Government Finance, Expenditures (% of GDP)",20.42,2016,,MYS
Malaysia,"Central Government Finance, Fiscal Balance (% of  GDP)",-3.1,2016,,MYS
Malaysia,"Central Government Finance, Revenues (% of GDP)",17.28,2016,,MYS
Malaysia,Current Account Balance (% of GDP),2.05,2016,,MYS
Malaysia,"External Debt, Total Outstanding (% of GNI)",60.59,2015,,MYS
Malaysia,"External Debt, Total Outstanding ($ million)",194272.37,2015,,MYS
Malaysia,Gross Domestic Investment (% of GDP),26.06,2016,,MYS
Malaysia,Gross Domestic Product (GDP) Annual Growth Rate (%),4.97,2015,,MYS
Malaysia,Gross Domestic Product (GDP) Annual Growth Rate (%),4.24,2016,,MYS
Malaysia,Gross International Reserves ($ million),94524.56,2016,,MYS
Malaysia,Growth Rate of Merchandise Exports (%),-5.77,2016,,MYS
Malaysia,Growth Rate of Merchandise Imports (%),-4.39,2016,,MYS
Malaysia,Inflation Rate (%),2.09,2016,,MYS
Malaysia,"Per Capita Gross National Income (GNI), Atlas Method (%)",10570,2015,,MYS
Malaysia,Trade Balance (% of GDP),8.23,2016,,MYS
Malaysia,"Value Added, Agriculture Annual Growth Rate (%)",-5.12,2016,,MYS
Malaysia,"Value Added, Industry Annual Growth Rate (%)",4.34,2016,,MYS
Malaysia,"Value Added, Services Annual Growth Rate (%)",5.61,2016,,MYS
Maldives,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",47.45,2015,,MDV
Maldives,Average Annual Population Growth Rate (%),3.51,2011-2016,,MDV
Maldives,Gini Index (%),38.37,2009,,MDV
Maldives,"Land, Total Surface Area ('000  km2)",0.3,,,MDV
Maldives,Population Density (persons per km2 of total surface area),1609.47,2016,,MDV
Maldives,Total Fertility Rate (births per woman),2.09,2015,,MDV
Maldives,Total Population (million),0.48,2016,,MDV
Maldives,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",7.24,2010,1.1.1,MDV
Maldives,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",6.12,2010,1.1.1,MDV
Maldives,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",6.58,2010,1.1.1,MDV
Maldives,Proportion of Population below $1.90 Purchasing Power Parity (%),7.26,2009,1.1.1,MDV
Maldives,Proportion of Population Living below the National Poverty Line (%),15,2009,1.2.1,MDV
Maldives,Growth Rates of Household Expenditure or Income per Capita (%),,,10.1.1,MDV
Maldives,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),,,10.1.1,MDV
Maldives,Proportion of Urban Population Living in Slums (%),,,11.1.1,MDV
Maldives,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),,,11.6.2,MDV
Maldives,"Material Footprint, Million Metric Tons",6.59,2015,12.2.1,MDV
Maldives,"Material Footprint, Per Capita",18.42,2015,12.2.1,MDV
Maldives,"Domestic Material Consumption, Million Metric Tons",4.17,2015,12.2.2,MDV
Maldives,"Domestic Material Consumption, Per Capita",11.64,2015,12.2.2,MDV
Maldives,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,MDV
Maldives,Forest Area as a Proportion of Total Land Area (%),3.33,2015,15.1.1,MDV
Maldives,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),92.5,2009,16.9.1,MDV
Maldives,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),0.11,2015,17.3.2,MDV
Maldives,Debt Service as a Percentage of Exports of Goods and Services (%),2.22,2015,17.4.1,MDV
Maldives,Fixed Broadband Subscriptions (per 100 inhabitants),6.47,2015,17.6.2,MDV
Maldives,Proportion of Individuals Using the Internet (%),54.46,2015,17.8.1,MDV
Maldives,Prevalence of Undernourishment (%),5.2,2014-2016,2.1.1,MDV
Maldives,Prevalence of Stunting among Children under 5 Years of Age (%),20.3,2009,2.2.1,MDV
Maldives,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),6.5,2009,2.2.2,MDV
Maldives,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),10.2,2009,2.2.2,MDV
Maldives,"Maternal Mortality Ratio (per 100,000 live births)",68,2015,3.1.1,MDV
Maldives,Proportion of Births Attended by Skilled Health Personnel (%),95.5,2012,3.1.2,MDV
Maldives,"Infant Mortality Rate (per 1,000 live births)",7.4,2015,3.2.1,MDV
Maldives,"Under-5 Mortality Rate (per 1,000 live births)",8.6,2015,3.2.1,MDV
Maldives,"Neonatal Mortality Rate (per 1,000 live births)",4.9,2015,3.2.2,MDV
Maldives,"Number of New HIV Infections (per 1,000 uninfected population)",,,3.3.1,MDV
Maldives,"Tuberculosis Incidence (per 100,000 population)",53,2015,3.3.2,MDV
Maldives,"Incidence of Malaria (per 1,000 population)",,,3.3.3,MDV
Maldives,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",15.95,2012,3.4.1,MDV
Maldives,"Death Rate due to Road Traffic Injuries (per 100,000 population)",3.5,2013,3.6.1,MDV
Maldives,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),42.7,2009,3.7.1,MDV
Maldives,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",13.67,2012,3.7.2,MDV
Maldives,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",15.3,2012,3.9.1,MDV
Maldives,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",0.65,2012,3.9.2,MDV
Maldives,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",,,4.2.2,MDV
Maldives,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",,,4.2.2,MDV
Maldives,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",,,4.2.2,MDV
Maldives,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",92.81,2014,4.c.1,MDV
Maldives,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",73.2,2014,4.c.1,MDV
Maldives,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",86.06,2014,4.c.1,MDV
Maldives,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,MDV
Maldives,Proportion of Seats Held by Women in National Parliaments (%),5.9,2016,5.5.1,MDV
Maldives,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",97.92,2015,6.1.1,MDV
Maldives,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",98.65,2015,6.1.1,MDV
Maldives,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",99.52,2015,6.1.1,MDV
Maldives,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",98.31,2015,6.2.1,MDV
Maldives,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",97.94,2015,6.2.1,MDV
Maldives,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",97.5,2015,6.2.1,MDV
Maldives,Proportion of Population with Access to Electricity (%),100,2014,7.1.1,MDV
Maldives,Renewal Energy Share in the Total Final Energy Consumption (%),0.91,2014,7.2.1,MDV
Maldives,"Number of ATMs (per 100,000 adults)",27.97,2015,8.10.1,MDV
Maldives,"Number of Commercial Bank Branches (per 100,000 adults)",12.13,2015,8.10.1,MDV
Maldives,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),,,8.10.2,MDV
Maldives,Annual Growth Rate of Real GDP per Employed Person (%),,,8.2.1,MDV
Maldives,"Unemployment Rate, Female (%)",13.8,2010,8.5.2,MDV
Maldives,"Unemployment Rate, Male (%)",10.4,2010,8.5.2,MDV
Maldives,"Unemployment Rate, Total (%)",11.7,2010,8.5.2,MDV
Maldives,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",77.37,2010,8.6.1,MDV
Maldives,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",32.88,2010,8.6.1,MDV
Maldives,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",56.4,2010,8.6.1,MDV
Maldives,"CO2 Emissions, Million Metric Tons",,,9.4.1,MDV
Maldives,"CO2 Emissions, Per Unit of GDP (PPP)",,,9.4.1,MDV
Maldives,Total Official Flows for Infrastructure (constant 2014 $ million),6.09,2015,9.a.1,MDV
Maldives,"Proportion of Population Covered by Mobile Network, 2G (%)",100,2013,9.c.1,MDV
Maldives,"Proportion of Population Covered by Mobile Network, 3G (%)",100,2015,9.c.1,MDV
Maldives,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",58,2015,9.c.1,MDV
Maldives,Annual Change in Money Supply (%),0.11,2016,,MDV
Maldives,"Central Government Finance, Expenditures (% of GDP)",38.64,2016,,MDV
Maldives,"Central Government Finance, Fiscal Balance (% of  GDP)",-7.38,2016,,MDV
Maldives,"Central Government Finance, Revenues (% of GDP)",31.26,2016,,MDV
Maldives,Current Account Balance (% of GDP),-17.71,2016,,MDV
Maldives,"External Debt, Total Outstanding (% of GNI)",24.47,2015,,MDV
Maldives,"External Debt, Total Outstanding ($ million)",696.2,2015,,MDV
Maldives,Gross Domestic Investment (% of GDP),,,,MDV
Maldives,Gross Domestic Product (GDP) Annual Growth Rate (%),2.85,2015,,MDV
Maldives,Gross Domestic Product (GDP) Annual Growth Rate (%),3.4,2016,,MDV
Maldives,Gross International Reserves ($ million),467.12,2016,,MDV
Maldives,Growth Rate of Merchandise Exports (%),-14.83,2016,,MDV
Maldives,Growth Rate of Merchandise Imports (%),6.55,2016,,MDV
Maldives,Inflation Rate (%),0.5,2016,,MDV
Maldives,"Per Capita Gross National Income (GNI), Atlas Method (%)",6950,2015,,MDV
Maldives,Trade Balance (% of GDP),-48.18,2016,,MDV
Maldives,"Value Added, Agriculture Annual Growth Rate (%)",7.23,2016,,MDV
Maldives,"Value Added, Industry Annual Growth Rate (%)",9.74,2016,,MDV
Maldives,"Value Added, Services Annual Growth Rate (%)",-1.15,2016,,MDV
Marshall Islands,"Age Dependency Ratio (Number of persons aged <15 and >= 65 to Number of persons aged 15-64 years, %)",64.74,2015,,MHL
Marshall Islands,Average Annual Population Growth Rate (%),0.37,2011-2016,,MHL
Marshall Islands,Gini Index (%),,,,MHL
Marshall Islands,"Land, Total Surface Area ('000  km2)",0.18,,,MHL
Marshall Islands,Population Density (persons per km2 of total surface area),300.86,2016,,MHL
Marshall Islands,Total Fertility Rate (births per woman),3.09,2016,,MHL
Marshall Islands,Total Population (million),0.05,2016,,MHL
Marshall Islands,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Female (%)",,,1.1.1,MHL
Marshall Islands,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Male (%)",,,1.1.1,MHL
Marshall Islands,"Proportion of Employed Population below $1.90 Purchasing Power Parity (PPP) a day, Total (%)",,,1.1.1,MHL
Marshall Islands,Proportion of Population below $1.90 Purchasing Power Parity (%),,,1.1.1,MHL
Marshall Islands,Proportion of Population Living below the National Poverty Line (%),,,1.2.1,MHL
Marshall Islands,Growth Rates of Household Expenditure or Income per Capita (%),,,10.1.1,MHL
Marshall Islands,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population (%),,,10.1.1,MHL
Marshall Islands,Proportion of Urban Population Living in Slums (%),,,11.1.1,MHL
Marshall Islands,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas (migrogram/m3) (%),,,11.6.2,MHL
Marshall Islands,"Material Footprint, Million Metric Tons",,,12.2.1,MHL
Marshall Islands,"Material Footprint, Per Capita",,,12.2.1,MHL
Marshall Islands,"Domestic Material Consumption, Million Metric Tons",0.15,2010,12.2.2,MHL
Marshall Islands,"Domestic Material Consumption, Per Capita",2.89,2010,12.2.2,MHL
Marshall Islands,Coverage of Protected Areas in Relation to Marine Areas (%),,,14.5.1,MHL
Marshall Islands,Forest Area as a Proportion of Total Land Area (%),70.2,2015,15.1.1,MHL
Marshall Islands,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority (%),,,16.9.1,MHL
Marshall Islands,Volume of Remittances in US Dollars as a Proportion of Total GDP (%),14.97,2015,17.3.2,MHL
Marshall Islands,Debt Service as a Percentage of Exports of Goods and Services (%),,,17.4.1,MHL
Marshall Islands,Fixed Broadband Subscriptions (per 100 inhabitants),1.89,2015,17.6.2,MHL
Marshall Islands,Proportion of Individuals Using the Internet (%),19.28,2015,17.8.1,MHL
Marshall Islands,Prevalence of Undernourishment (%),,,2.1.1,MHL
Marshall Islands,Prevalence of Stunting among Children under 5 Years of Age (%),,,2.2.1,MHL
Marshall Islands,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age (%),,,2.2.2,MHL
Marshall Islands,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age (%),,,2.2.2,MHL
Marshall Islands,"Maternal Mortality Ratio (per 100,000 live births)",,,3.1.1,MHL
Marshall Islands,Proportion of Births Attended by Skilled Health Personnel (%),90.1,2011,3.1.2,MHL
Marshall Islands,"Infant Mortality Rate (per 1,000 live births)",29.6,2015,3.2.1,MHL
Marshall Islands,"Under-5 Mortality Rate (per 1,000 live births)",36,2015,3.2.1,MHL
Marshall Islands,"Neonatal Mortality Rate (per 1,000 live births)",16.7,2015,3.2.2,MHL
Marshall Islands,"Number of New HIV Infections (per 1,000 uninfected population)",,,3.3.1,MHL
Marshall Islands,"Tuberculosis Incidence (per 100,000 population)",344,2015,3.3.2,MHL
Marshall Islands,"Incidence of Malaria (per 1,000 population)",,,3.3.3,MHL
Marshall Islands,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease (%)",,,3.4.1,MHL
Marshall Islands,"Death Rate due to Road Traffic Injuries (per 100,000 population)",5.7,2013,3.6.1,MHL
Marshall Islands,Proportion of Women Married or in a Union of Reproductive Age (Aged 15-49 years) Who Have Their Need for Family Planning Satisfied with Modern Methods (%),,,3.7.1,MHL
Marshall Islands,"Adolescent Birthrate (Aged 15-19 Years) per 1,000 Women in That Age Group (%)",85,2011,3.7.2,MHL
Marshall Islands,"Mortality Rate Attributed to Household and Ambient Air Pollution (per 100,000 population)",40.9,2012,3.9.1,MHL
Marshall Islands,"Mortality Rate Attributed to Unsafe Water, Unsafe Sanitation, and Lack of Hygiene (per 100,000 population)",7.61,2012,3.9.2,MHL
Marshall Islands,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female (%)",69.51,2015,4.2.2,MHL
Marshall Islands,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male (%)",60.62,2015,4.2.2,MHL
Marshall Islands,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total (%)",64.93,2015,4.2.2,MHL
Marshall Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Lower Secondary",,,4.c.1,MHL
Marshall Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Preprimary",,,4.c.1,MHL
Marshall Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Primary",,,4.c.1,MHL
Marshall Islands,"Proportion of Teachers Who Have Received at Least the Minimum Organized Teacher Training, Upper Secondary",,,4.c.1,MHL
Marshall Islands,Proportion of Seats Held by Women in National Parliaments (%),9.1,2016,5.5.1,MHL
Marshall Islands,"Proportion of Population Using Improved Drinking Water Sources, Rural (%)",97.65,2015,6.1.1,MHL
Marshall Islands,"Proportion of Population Using Improved Drinking Water Sources, Total (%)",94.62,2015,6.1.1,MHL
Marshall Islands,"Proportion of Population Using Improved Drinking Water Sources, Urban (%)",93.5,2015,6.1.1,MHL
Marshall Islands,"Proportion of Population Using Improved Sanitation Facilities, Rural (%)",56.17,2015,6.2.1,MHL
Marshall Islands,"Proportion of Population Using Improved Sanitation Facilities, Total (%)",76.86,2015,6.2.1,MHL
Marshall Islands,"Proportion of Population Using Improved Sanitation Facilities, Urban (%)",84.49,2015,6.2.1,MHL
Marshall Islands,Proportion of Population with Access to Electricity (%),90.02,2014,7.1.1,MHL
Marshall Islands,Renewal Energy Share in the Total Final Energy Consumption (%),0.23,2014,7.2.1,MHL
Marshall Islands,"Number of ATMs (per 100,000 adults)",5.9,2015,8.10.1,MHL
Marshall Islands,"Number of Commercial Bank Branches (per 100,000 adults)",20.65,2015,8.10.1,MHL
Marshall Islands,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile-Money-Service Provider (%),,,8.10.2,MHL
Marshall Islands,Annual Growth Rate of Real GDP per Employed Person (%),,,8.2.1,MHL
Marshall Islands,"Unemployment Rate, Female (%)",4.5,2011,8.5.2,MHL
Marshall Islands,"Unemployment Rate, Male (%)",4.9,2011,8.5.2,MHL
Marshall Islands,"Unemployment Rate, Total (%)",4.7,2011,8.5.2,MHL
Marshall Islands,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Female (%)",,,8.6.1,MHL
Marshall Islands,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Male (%)",,,8.6.1,MHL
Marshall Islands,"Proportion of Youth (Aged 15-24 Years) Not in Education, Employment, or Training, Total (%)",,,8.6.1,MHL
Marshall Islands,"CO2 Emissions, Million Metric Tons",,,9.4.1,MHL
Marshall Islands,"CO2 Emissions, Per Unit of GDP (PPP)",,,9.4.1,MHL
Marshall Islands,Total Official Flows for Infrastructure (constant 2014 $ million),267.1,2015,9.a.1,MHL
Marshall Islands,"Proportion of Population Covered by Mobile Network, 2G (%)",,,9.c.1,MHL
Marshall Islands,"Proportion of Population Covered by Mobile Network, 3G (%)",,,9.c.1,MHL
Marshall Islands,"Proportion of Population Covered by Mobile Network, LTE/WiMAX (%)",,,9.c.1,MHL
Marshall Islands,Annual Change in Money Supply (%),,,,MHL
Marshall Islands,"Central Government Finance, Expenditures (% of GDP)",,,,MHL
Marshall Islands,"Central Government Finance, Fiscal Balance (% of  GDP)",-2,2016,,MHL
Marshall Islands,"Central Government Finance, Revenues (% of GDP)",,,,MHL
Marshall Islands,Current Account Balance (% of GDP),16,2016,,MHL
Marshall Islands,"External Debt, Total Outstanding (% of GNI)",35.56,2015,,MHL
Marshall Islands,"External Debt, Total Outstanding ($ million)",89.83,2015,,MHL
Marshall Islands,Gross Domestic Investment (% of GDP),16.24,2015,,MHL
Marshall Islands,Gross Domestic Product (GDP) Annual Growth Rate (%),0.63,2015,,MHL
Marshall Islands,Gross Domestic Product (GDP) Annual Growth Rate (%),1.5,2016,,MHL
