Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Code
"Micronesia, Federated States of","Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,FSM
"Micronesia, Federated States of",Proportion of Population with Access to Electricity,82,,2019,%,7.1.1,FSM
"Micronesia, Federated States of",Proportion of Seats Held by Women in National Parliaments,–,,2020,%,5.5.1,FSM
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",100,4,2016,%,4.c.1,FSM
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Preprimary",99.3,4,2016,%,4.c.1,FSM
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Primary",34.8,,2019,%,4.c.1,FSM
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",…,,2019,%,4.c.1,FSM
"Micronesia, Federated States of",Renewable Energy Share in the Total Final Energy Consumption,1.8,,2018,%,7.2.1,FSM
"Micronesia, Federated States of",Surface Area,0.7,,2018,'000  km2,,FSM
"Micronesia, Federated States of",Total Fertility Rate,3.1,,2018,births per woman,,FSM
"Micronesia, Federated States of","Total Official Flows for Infrastructure, Official Development Assistance (ODA)",25.7,,2019,"disbursements, constant 2018, $ million",9.a.1,FSM
"Micronesia, Federated States of","Total Official Flows for Infrastructure, Other Official Flows (OOF)",0.2,,2019,"disbursements, constant 2018, $ million",9.a.1,FSM
"Micronesia, Federated States of","Total Outstanding, External Debt",64.6,,2020,$ million,,FSM
"Micronesia, Federated States of","Total Outstanding, External Debt",19.7,6,2018,% of GNI,,FSM
"Micronesia, Federated States of",Total Population,0.1,,2000,million,,FSM
"Micronesia, Federated States of",Trade Balance,-30.7,*,2020,% of GDP,,FSM
"Micronesia, Federated States of",Tuberculosis Incidence,100,,2019,"per 100,000 population",3.3.2,FSM
"Micronesia, Federated States of",Under-5 Mortality Rate,29.4,,2019,"per 1,000 live births",3.2.1,FSM
"Micronesia, Federated States of","Unemployment Rate, by Sex, Female",13.9,2,2014,%,8.5.2,FSM
"Micronesia, Federated States of","Unemployment Rate, by Sex, Male",5.4,2,2014,%,8.5.2,FSM
"Micronesia, Federated States of","Unemployment Rate, by Sex, Total",8.9,2,2014,%,8.5.2,FSM
"Micronesia, Federated States of",Volume of Remittances in United States Dollars as a Proportion of Total GDP,5.8,6,2018,%,17.3.2,FSM
Mongolia,Age Dependency Ratio,54.8,,2020,% of working-age population,,MON
Mongolia,Annual Change in Money Supply,16.3,,2020,%,,MON
Mongolia,Annual Growth Rate of GDP,-5.3,,2020,%,,MON
Mongolia,Annual Growth Rate of Real GDP per Employed Person,-0.2,,2019,%,8.2.1,MON
Mongolia,"Annual Real Growth Rates on Value Added, Agriculture",6.2,,2020,%,,MON
Mongolia,"Annual Real Growth Rates on Value Added, Industry",-6.2,,2020,%,,MON
Mongolia,"Annual Real Growth Rates on Value Added, Services",-7.1,,2020,%,,MON
Mongolia,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,49.5,,2016,μg/m3,11.6.2,MON
Mongolia,Average Annual Population Growth Rate,1.9,,2015-2020,%,,MON
Mongolia,CO2 Emissions,21.1,,2018,Million Metric Tons,9.4.1,MON
Mongolia,CO2 Emissions,0.5,,2018,Per Unit of GDP (PPP),9.4.1,MON
Mongolia,Coverage of Protected Areas in Relation to Marine Areas,–,,2020,%,14.5.1,MON
Mongolia,Current Account Balance,-4.4,,2020,% of GDP,,MON
Mongolia,Debt Service as a Percentage of Exports of Goods and Services,5.4,,2019,%,17.4.1,MON
Mongolia,Domestic Material Consumption,106.2,,2017,Million Metric Tons,12.2.2,MON
Mongolia,Domestic Material Consumption,34.5,,2017,Per Capita,12.2.2,MON
Mongolia,Forest Area as a Proportion of Total Land Area,9.1,,2020,%,15.1.1,MON
Mongolia,"Government Finance, Expenditure",37.8,,2020,% of  GDP,,MON
Mongolia,"Government Finance, Fiscal Balance",-9.6,,2020,% of  GDP,,MON
Mongolia,"Government Finance, Revenue",28.1,,2020,% of  GDP,,MON
Mongolia,Gross Domestic Investment,39.5,7,2019,% of GDP,,MON
Mongolia,Gross International Reserves,4534,,2020,$ million,,MON
Mongolia,Growth Rate of Merchandise Exports,-2.2,,2020,%,,MON
Mongolia,Growth Rate of Merchandise Imports,-12.7,,2020,%,,MON
Mongolia,Growth Rates of Household Expenditure or Income per Capita,0.8,,2011-2018,%,10.1.1,MON
Mongolia,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,1.1,,2011-2018,%,10.1.1,MON
Mongolia,Inflation Rate,3.7,,2020,%,,MON
Mongolia,Material Footprint,42.6,,2017,Million Metric Tons,12.2.1,MON
Mongolia,Material Footprint,13.9,,2017,Per Capita,12.2.1,MON
Mongolia,Maternal Mortality Ratio,45,,2017,"per 100,000 live births",3.1.1,MON
Mongolia,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",35,,2019,%,3.4.1,MON
Mongolia,Neonatal Mortality Rate,8.1,,2019,"per 1,000 live births",3.2.2,MON
Mongolia,Nominal Gross Domestic Product,13.1,,2020,$ billion,,MON
Mongolia,Number of ATMs,148.8,,2019,"per 100,000 adults",8.10.1,MON
Mongolia,Number of Commercial Bank Branches,63.9,,2019,"per 100,000 adults",8.10.1,MON
Mongolia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",95.1,,2019,%,4.2.2,MON
Mongolia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",97.1,,2019,%,4.2.2,MON
Mongolia,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",96.1,,2019,%,4.2.2,MON
Mongolia,"Per Capita Gross National Income (GNI), Atlas Method",3790,,2019,$,,MON
Mongolia,Population Density,2,,2020,persons per km2 of surface area,,MON
Mongolia,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,10.5,,2018,%,2.2.1,MON
Mongolia,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,0.9,,2018,%,2.2.1,MON
Mongolia,Prevalence of Stunting among Children under 5 Years of Age,9.4,,2018,%,2.2.1,MON
Mongolia,Prevalence of Undernourishment,21.3,,2017-2019,%,2.1.1,MON
Mongolia,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,93,,2017,%,8.10.2,MON
Mongolia,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,99.6,6,2018,%,16.9.1,MON
Mongolia,"Proportion of Employed Population below $1.90 PPP a Day, Female",0.1,,2019,%,1.1.1,MON
Mongolia,"Proportion of Employed Population below $1.90 PPP a Day, Male",0.1,,2019,%,1.1.1,MON
Mongolia,"Proportion of Employed Population below $1.90 PPP a Day, Total",0.1,,2019,%,1.1.1,MON
Mongolia,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,0.5,,2018,%,,MON
Mongolia,"Proportion of Population Covered by Mobile Network, 2G",100,6,2018,%,9.c.1,MON
Mongolia,"Proportion of Population Covered by Mobile Network, 3G",96,,2019,%,9.c.1,MON
Mongolia,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",59,,2019,%,9.c.1,MON
Mongolia,Proportion of Population Living below the National Poverty Line,28.4,6,2018,%,,MON
Mongolia,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,MON
Mongolia,"Proportion of Population Using Safely Managed Drinking Water Services, Total",23.7,,2017,%,6.1.1,MON
Mongolia,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,MON
Mongolia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,MON
Mongolia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,MON
Mongolia,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,MON
Mongolia,Proportion of Population with Access to Electricity,99,,2019,%,7.1.1,MON
Mongolia,Proportion of Seats Held by Women in National Parliaments,17.3,,2020,%,5.5.1,MON
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",…,,2019,%,4.c.1,MON
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",95.7,,2019,%,4.c.1,MON
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Primary",88.9,,2019,%,4.c.1,MON
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",…,,2019,%,4.c.1,MON
Mongolia,Renewable Energy Share in the Total Final Energy Consumption,3.4,,2018,%,7.2.1,MON
Mongolia,Surface Area,1564.1,,2018,'000  km2,,MON
Mongolia,Total Fertility Rate,2.9,,2018,births per woman,,MON
Mongolia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",75.1,,2019,"disbursements, constant 2018, $ million",9.a.1,MON
Mongolia,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",189.6,,2019,"disbursements, constant 2018, $ million",9.a.1,MON
Mongolia,"Total Outstanding, External Debt",32161.9,,2020,$ million,,MON
Mongolia,"Total Outstanding, External Debt",250.9,,2019,% of GNI,,MON
Mongolia,Total Population,3.4,,2000,million,,MON
Mongolia,Trade Balance,13.5,,2020,% of GDP,,MON
Mongolia,Tuberculosis Incidence,428,,2019,"per 100,000 population",3.3.2,MON
Mongolia,Under-5 Mortality Rate,15.6,,2019,"per 1,000 live births",3.2.1,MON
Mongolia,"Unemployment Rate, by Sex, Female",4.8,,2019,%,8.5.2,MON
Mongolia,"Unemployment Rate, by Sex, Male",5.8,,2019,%,8.5.2,MON
Mongolia,"Unemployment Rate, by Sex, Total",4.3,,2020,%,8.5.2,MON
Mongolia,Volume of Remittances in United States Dollars as a Proportion of Total GDP,4,,2019,%,17.3.2,MON
Myanmar,Age Dependency Ratio,46.5,,2020,% of working-age population,,MYA
Myanmar,Annual Change in Money Supply,15.4,,2020,%,,MYA
Myanmar,Annual Growth Rate of GDP,3.3,*,2020,%,,MYA
Myanmar,Annual Growth Rate of Real GDP per Employed Person,4.6,,2019,%,8.2.1,MYA
Myanmar,"Annual Real Growth Rates on Value Added, Agriculture",1.8,*,2020,%,,MYA
Myanmar,"Annual Real Growth Rates on Value Added, Industry",5.1,*,2020,%,,MYA
Myanmar,"Annual Real Growth Rates on Value Added, Services",2.5,*,2020,%,,MYA
Myanmar,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,34.6,,2016,μg/m3,11.6.2,MYA
Myanmar,Average Annual Population Growth Rate,0.9,,2015-2020,%,,MYA
Myanmar,CO2 Emissions,31.5,,2018,Million Metric Tons,9.4.1,MYA
Myanmar,CO2 Emissions,0.1,,2018,Per Unit of GDP (PPP),9.4.1,MYA
Myanmar,Coverage of Protected Areas in Relation to Marine Areas,0.5,,2020,%,14.5.1,MYA
Myanmar,Current Account Balance,-4,*,2020,% of GDP,,MYA
Myanmar,Debt Service as a Percentage of Exports of Goods and Services,3.4,,2019,%,17.4.1,MYA
Myanmar,Domestic Material Consumption,187.6,,2017,Million Metric Tons,12.2.2,MYA
Myanmar,Domestic Material Consumption,3.5,,2017,Per Capita,12.2.2,MYA
Myanmar,Forest Area as a Proportion of Total Land Area,43.7,,2020,%,15.1.1,MYA
Myanmar,"Government Finance, Expenditure",23,*,2020,% of  GDP,,MYA
Myanmar,"Government Finance, Fiscal Balance",-4.9,*,2020,% of  GDP,,MYA
Myanmar,"Government Finance, Revenue",18.1,*,2020,% of  GDP,,MYA
Myanmar,Gross Domestic Investment,30.7,*,2020,% of GDP,,MYA
Myanmar,Gross International Reserves,8528,,2020,$ million,,MYA
Myanmar,Growth Rate of Merchandise Exports,3.4,,2020,%,,MYA
Myanmar,Growth Rate of Merchandise Imports,5.2,,2020,%,,MYA
Myanmar,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,MYA
Myanmar,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,MYA
Myanmar,Inflation Rate,5.7,,2020,%,,MYA
Myanmar,Material Footprint,76.4,,2017,Million Metric Tons,12.2.1,MYA
Myanmar,Material Footprint,1.4,,2017,Per Capita,12.2.1,MYA
Myanmar,Maternal Mortality Ratio,250,,2017,"per 100,000 live births",3.1.1,MYA
Myanmar,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",24.9,,2019,%,3.4.1,MYA
Myanmar,Neonatal Mortality Rate,22.4,,2019,"per 1,000 live births",3.2.2,MYA
Myanmar,Nominal Gross Domestic Product,80.4,*,2020,$ billion,,MYA
Myanmar,Number of ATMs,6.9,,2019,"per 100,000 adults",8.10.1,MYA
Myanmar,Number of Commercial Bank Branches,5.6,,2019,"per 100,000 adults",8.10.1,MYA
Myanmar,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",11.8,6,2018,%,4.2.2,MYA
Myanmar,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",11.7,6,2018,%,4.2.2,MYA
Myanmar,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",11.8,6,2018,%,4.2.2,MYA
Myanmar,"Per Capita Gross National Income (GNI), Atlas Method",1390,,2019,$,,MYA
Myanmar,Population Density,81,,2020,persons per km2 of surface area,,MYA
Myanmar,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,1.5,4,2016,%,2.2.1,MYA
Myanmar,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,6.6,4,2016,%,2.2.1,MYA
Myanmar,Prevalence of Stunting among Children under 5 Years of Age,29.4,4,2016,%,2.2.1,MYA
Myanmar,Prevalence of Undernourishment,14.1,,2017-2019,%,2.1.1,MYA
Myanmar,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,26,,2017,%,8.10.2,MYA
Myanmar,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,81.3,4,2016,%,16.9.1,MYA
Myanmar,"Proportion of Employed Population below $1.90 PPP a Day, Female",1.1,,2019,%,1.1.1,MYA
Myanmar,"Proportion of Employed Population below $1.90 PPP a Day, Male",1,,2019,%,1.1.1,MYA
Myanmar,"Proportion of Employed Population below $1.90 PPP a Day, Total",1.1,,2019,%,1.1.1,MYA
Myanmar,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,1.4,5,2017,%,,MYA
Myanmar,"Proportion of Population Covered by Mobile Network, 2G",95.2,6,2018,%,9.c.1,MYA
Myanmar,"Proportion of Population Covered by Mobile Network, 3G",94.2,6,2018,%,9.c.1,MYA
Myanmar,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",75,6,2018,%,9.c.1,MYA
Myanmar,Proportion of Population Living below the National Poverty Line,24.8,5,2017,%,,MYA
Myanmar,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Drinking Water Services, Total",…,,2017,%,6.1.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,MYA
Myanmar,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,MYA
Myanmar,Proportion of Population with Access to Electricity,68,,2019,%,7.1.1,MYA
Myanmar,Proportion of Seats Held by Women in National Parliaments,16.8,,2020,%,5.5.1,MYA
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",89.5,6,2018,%,4.c.1,MYA
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",81.4,6,2018,%,4.c.1,MYA
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Primary",95.3,6,2018,%,4.c.1,MYA
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",87.7,6,2018,%,4.c.1,MYA
Myanmar,Renewable Energy Share in the Total Final Energy Consumption,60.1,,2018,%,7.2.1,MYA
Myanmar,Surface Area,676.6,,2018,'000  km2,,MYA
Myanmar,Total Fertility Rate,2.2,,2018,births per woman,,MYA
Myanmar,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",482.4,,2019,"disbursements, constant 2018, $ million",9.a.1,MYA
Myanmar,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",168.4,,2019,"disbursements, constant 2018, $ million",9.a.1,MYA
Myanmar,"Total Outstanding, External Debt",27600,,2020,$ million,,MYA
Myanmar,"Total Outstanding, External Debt",20.6,,2019,% of GNI,,MYA
Myanmar,Total Population,54.8,,2000,million,,MYA
Myanmar,Trade Balance,-4.1,*,2020,% of GDP,,MYA
Myanmar,Tuberculosis Incidence,322,,2019,"per 100,000 population",3.3.2,MYA
Myanmar,Under-5 Mortality Rate,44.7,,2019,"per 1,000 live births",3.2.1,MYA
Myanmar,"Unemployment Rate, by Sex, Female",0.6,,2019,%,8.5.2,MYA
Myanmar,"Unemployment Rate, by Sex, Male",0.4,,2019,%,8.5.2,MYA
Myanmar,"Unemployment Rate, by Sex, Total",1.8,,2020,%,8.5.2,MYA
Myanmar,Volume of Remittances in United States Dollars as a Proportion of Total GDP,3.2,,2019,%,17.3.2,MYA
Nauru,Age Dependency Ratio,72,¤,2020,% of working-age population,,NAU
Nauru,Annual Change in Money Supply,…,,2020,%,,NAU
Nauru,Annual Growth Rate of GDP,0.8,*,2020,%,,NAU
Nauru,Annual Growth Rate of Real GDP per Employed Person,…,,2019,%,8.2.1,NAU
Nauru,"Annual Real Growth Rates on Value Added, Agriculture",5.2,3,2015,%,,NAU
Nauru,"Annual Real Growth Rates on Value Added, Industry",-17.1,3,2015,%,,NAU
Nauru,"Annual Real Growth Rates on Value Added, Services",11.6,3,2015,%,,NAU
Nauru,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,12.5,,2016,μg/m3,11.6.2,NAU
Nauru,Average Annual Population Growth Rate,1.3,,2018-2020,%,,NAU
Nauru,CO2 Emissions,…,,2018,Million Metric Tons,9.4.1,NAU
Nauru,CO2 Emissions,…,,2018,Per Unit of GDP (PPP),9.4.1,NAU
Nauru,Coverage of Protected Areas in Relation to Marine Areas,–,,2020,%,14.5.1,NAU
Nauru,Current Account Balance,4.6,*,2020,% of GDP,,NAU
Nauru,Debt Service as a Percentage of Exports of Goods and Services,…,,2019,%,17.4.1,NAU
Nauru,Domestic Material Consumption,…,,2017,Million Metric Tons,12.2.2,NAU
Nauru,Domestic Material Consumption,…,,2017,Per Capita,12.2.2,NAU
Nauru,Forest Area as a Proportion of Total Land Area,–,,2020,%,15.1.1,NAU
Nauru,"Government Finance, Expenditure",125.4,*,2020,% of  GDP,,NAU
Nauru,"Government Finance, Fiscal Balance",32.2,*,2020,% of  GDP,,NAU
Nauru,"Government Finance, Revenue",157.5,*,2020,% of  GDP,,NAU
Nauru,Gross Domestic Investment,…,,2020,% of GDP,,NAU
Nauru,Gross International Reserves,…,,2020,$ million,,NAU
Nauru,Growth Rate of Merchandise Exports,-9,,2020,%,,NAU
Nauru,Growth Rate of Merchandise Imports,-8.1,,2020,%,,NAU
Nauru,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,NAU
Nauru,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,NAU
Nauru,Inflation Rate,1,,2020,%,,NAU
Nauru,Material Footprint,…,,2017,Million Metric Tons,12.2.1,NAU
Nauru,Material Footprint,…,,2017,Per Capita,12.2.1,NAU
Nauru,Maternal Mortality Ratio,–,3,2015,"per 100,000 live births",3.1.1,NAU
Nauru,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",30,5,2017,%,3.4.1,NAU
Nauru,Neonatal Mortality Rate,19.9,,2019,"per 1,000 live births",3.2.2,NAU
Nauru,Nominal Gross Domestic Product,0.1,*,2020,$ billion,,NAU
Nauru,Number of ATMs,…,,2019,"per 100,000 adults",8.10.1,NAU
Nauru,Number of Commercial Bank Branches,…,,2019,"per 100,000 adults",8.10.1,NAU
Nauru,"Participation Rate in Organized Learning (1 year before the official primary entry age), Female",100,,2019,%,4.2.2,NAU
Nauru,"Participation Rate in Organized Learning (1 year before the official primary entry age), Male",89.2,,2019,%,4.2.2,NAU
Nauru,"Participation Rate in Organized Learning (1 year before the official primary entry age), Total",94.5,,2019,%,4.2.2,NAU
Nauru,"Per Capita Gross National Income (GNI), Atlas Method",14230,,2019,$,,NAU
Nauru,Population Density,585,,2020,persons per km2 of surface area,,NAU
Nauru,Prevalence of Malnutrition (Overweight) among Children under 5 Years of Age,…,,2018,%,2.2.1,NAU
Nauru,Prevalence of Malnutrition (Wasting) among Children under 5 Years of Age,…,,2018,%,2.2.1,NAU
Nauru,Prevalence of Stunting among Children under 5 Years of Age,…,,2018,%,2.2.1,NAU
Nauru,Prevalence of Undernourishment,…,,2017-2019,%,2.1.1,NAU
Nauru,Proportion of Adults (15 Years and Older) with an Account at a Bank or Other Financial Institution or with a Mobile Money Service Provider,…,,2017,%,8.10.2,NAU
Nauru,Proportion of Children under 5 Years of Age Whose Births Have Been Registered with a Civil Authority,95.9,1,2013,%,16.9.1,NAU
Nauru,"Proportion of Employed Population below $1.90 PPP a Day, Female",…,,2019,%,1.1.1,NAU
Nauru,"Proportion of Employed Population below $1.90 PPP a Day, Male",…,,2019,%,1.1.1,NAU
Nauru,"Proportion of Employed Population below $1.90 PPP a Day, Total",…,,2019,%,1.1.1,NAU
Nauru,Proportion of Population below $1.90 Purchasing Power Parity (PPP) a Day,…,,2018,%,,NAU
Nauru,"Proportion of Population Covered by Mobile Network, 2G",98,5,2017,%,9.c.1,NAU
Nauru,"Proportion of Population Covered by Mobile Network, 3G",98,5,2017,%,9.c.1,NAU
Nauru,"Proportion of Population Covered by Mobile Network, LTE/WiMAX",30,5,2017,%,9.c.1,NAU
Nauru,Proportion of Population Living below the National Poverty Line,24,1,2013,%,,NAU
Nauru,"Proportion of Population Using Safely Managed Drinking Water Services, Rural",…,,2017,%,6.1.1,NAU
Nauru,"Proportion of Population Using Safely Managed Drinking Water Services, Total",…,,2017,%,6.1.1,NAU
Nauru,"Proportion of Population Using Safely Managed Drinking Water Services, Urban",…,,2017,%,6.1.1,NAU
Nauru,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Rural",…,,2017,%,6.2.1,NAU
Nauru,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Total",…,,2017,%,6.2.1,NAU
Nauru,"Proportion of Population Using Safely Managed Sanitation Services, Including a Hand-washing Facility with Soap and Water, Urban",…,,2017,%,6.2.1,NAU
Nauru,Proportion of Population with Access to Electricity,100,,2019,%,7.1.1,NAU
Nauru,Proportion of Seats Held by Women in National Parliaments,10.5,,2020,%,5.5.1,NAU
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary",100,4,2016,%,4.c.1,NAU
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary",100,4,2016,%,4.c.1,NAU
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Primary",100,4,2016,%,4.c.1,NAU
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary",100,4,2016,%,4.c.1,NAU
Nauru,Renewable Energy Share in the Total Final Energy Consumption,0.7,,2018,%,7.2.1,NAU
Nauru,Surface Area,0,,2018,'000  km2,,NAU
Nauru,Total Fertility Rate,3.9,8,2020,births per woman,,NAU
Nauru,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",38.5,,2019,"disbursements, constant 2018, $ million",9.a.1,NAU
Nauru,"Total Official Flows for Infrastructure, Other Official Flows (OOF)",…,,2019,"disbursements, constant 2018, $ million",9.a.1,NAU
Nauru,"Total Outstanding, External Debt",30.7,,2020,$ million,,NAU
Nauru,"Total Outstanding, External Debt",18.4,,2019,% of GNI,,NAU
Nauru,Total Population,0,,2000,million,,NAU
Nauru,Trade Balance,-46,*,2020,% of GDP,,NAU
Nauru,Tuberculosis Incidence,182,,2019,"per 100,000 population",3.3.2,NAU
Nauru,Under-5 Mortality Rate,30.9,,2019,"per 1,000 live births",3.2.1,NAU
Nauru,"Unemployment Rate, by Sex, Female",18,1,2013,%,8.5.2,NAU
Nauru,"Unemployment Rate, by Sex, Male",10,1,2013,%,8.5.2,NAU
Nauru,"Unemployment Rate, by Sex, Total",13.3,1,2013,%,8.5.2,NAU
Nauru,Volume of Remittances in United States Dollars as a Proportion of Total GDP,5.3,6,2018,%,17.3.2,NAU
Nepal,Age Dependency Ratio,53,,2020,% of working-age population,,NEP
Nepal,Annual Change in Money Supply,18.1,,2020,%,,NEP
Nepal,Annual Growth Rate of GDP,-1.9,,2020,%,,NEP
Nepal,Annual Growth Rate of Real GDP per Employed Person,3.6,,2019,%,8.2.1,NEP
Nepal,"Annual Real Growth Rates on Value Added, Agriculture",2.2,,2020,%,,NEP
Nepal,"Annual Real Growth Rates on Value Added, Industry",-4.2,,2020,%,,NEP
Nepal,"Annual Real Growth Rates on Value Added, Services",-3.6,,2020,%,,NEP
Nepal,Average Annual Mean of Particulate Matter of 2.5 Microns in Diameter or Smaller (PM2.5) Concentration Levels in Urban Areas ,99.5,,2016,μg/m3,11.6.2,NEP
Nepal,Average Annual Population Growth Rate,1.4,,2015-2020,%,,NEP
Nepal,CO2 Emissions,11.2,,2018,Million Metric Tons,9.4.1,NEP
Nepal,CO2 Emissions,0.1,,2018,Per Unit of GDP (PPP),9.4.1,NEP
Nepal,Coverage of Protected Areas in Relation to Marine Areas,–,,2020,%,14.5.1,NEP
Nepal,Current Account Balance,-0.9,,2020,% of GDP,,NEP
Nepal,Debt Service as a Percentage of Exports of Goods and Services,7.3,,2019,%,17.4.1,NEP
Nepal,Domestic Material Consumption,114.4,,2017,Million Metric Tons,12.2.2,NEP
Nepal,Domestic Material Consumption,3.9,,2017,Per Capita,12.2.2,NEP
Nepal,Forest Area as a Proportion of Total Land Area,41.6,,2020,%,15.1.1,NEP
Nepal,"Government Finance, Expenditure",29.1,,2020,% of  GDP,,NEP
Nepal,"Government Finance, Fiscal Balance",-5.5,,2020,% of  GDP,,NEP
Nepal,"Government Finance, Revenue",21.8,,2020,% of  GDP,,NEP
Nepal,Gross Domestic Investment,31.3,,2020,% of GDP,,NEP
Nepal,Gross International Reserves,11646.1,,2020,$ million,,NEP
Nepal,Growth Rate of Merchandise Exports,-7.5,,2020,%,,NEP
Nepal,Growth Rate of Merchandise Imports,-18.9,,2020,%,,NEP
Nepal,Growth Rates of Household Expenditure or Income per Capita,…,,,%,10.1.1,NEP
Nepal,Growth Rates of Household Expenditure or Income per Capita among the Bottom 40% of the Population,…,,,%,10.1.1,NEP
Nepal,Inflation Rate,6.2,,2020,%,,NEP
Nepal,Material Footprint,81.6,,2017,Million Metric Tons,12.2.1,NEP
Nepal,Material Footprint,2.8,,2017,Per Capita,12.2.1,NEP
Nepal,Maternal Mortality Ratio,186,,2017,"per 100,000 live births",3.1.1,NEP
Nepal,"Mortality Rate Attributed to Cardiovascular Disease, Cancer, Diabetes, or Chronic Respiratory Disease",21.5,,2019,%,3.4.1,NEP
